Barbecued Chicken; Red Peppers; Green Peppers; Tomatoes; Red Onions; Barbecue Sauce;Chicken; Artichoke; Spinach; Garlic; Jalapeno Peppers; Fontina Cheese; Gouda Cheese; Mushrooms; Asiago Cheese; Alfredo Sauce; Pesto Sauce; Corn; Cilantro; Chipotle Sauce; Pineapple; Thai Sweet Chilli Sauce;Bacon; Pepperoni; Italian Sausage; Chorizo Sausage;Pepperoni; Bacon;Sliced Ham; Mozzarella Cheese;Capocollo; Goat Cheese; Oregano;Tomatoes; Anchovies; Green Olives;Mozzarella Cheese;Kalamata Olives; Feta Cheese; Beef Chuck Roast;Brie Carre Cheese; Prosciutto; Caramelized Onions; Pears; Thyme;‘Nduja Salami; Pancetta; Friggitello Peppers;Calabrese Salami; Capocollo;Genoa Salami;Prosciutto di San Daniele; Arugula;Coarse Sicilian Salami; Luganega Sausage; Onions;Soppressata Salami; Artichokes; Peperoncini verdi;Spinach; Kalamata Olives; Provolone Cheese; Smoked Gouda Cheese; Romano Cheese; Blue Cheese;Ricotta Cheese; Gorgonzola Piccante Cheese; Parmigiano Reggiano Cheese;Eggplant; Zucchini; Sun-dried Tomatoes; Plum Tomatoes;Mushrooms
40.92;295.83;94.98;419.54;335.63;40.92;153.22;35.3;77.74;487.91;99.79;50.25;35.3;137.86;54.71;18.46;45.73;64.49;64.49;64.49;85.96;48.89;25.84;98.07;25.84;25.84;63.62;38.35;37.07;119.33;64.27;64.27;28.33;50.99;23.44;101.68;68.85;25.44;78.08;25.44;6.33;6.33;6.33;6.33;6.33;14.06;14.06;14.06;30.31;51.83;21.52;21.5;21.5;31.95;31.95;31.95;14.95;94.56;35.93;85.5;26.54;32.88;32.88;32.88;32.88;45.81;45.81;45.81;13.96;42.75;29.93;11.8;28.79
39.3;290.71;84.61;417.66;339.13;39.3;162.1;43.8;88.24;492.53;106.04;60.13;43.8;135.36;61.59;19.83;52.61;62.24;62.24;62.24;86.58;44.14;20.59;102.7;20.59;20.59;59.87;40.47;42.45;121.71;53.14;53.14;22.83;51.99;25.56;107.06;72.6;28.44;81.21;28.44;6.33;6.33;6.33;6.33;6.33;15.06;15.06;15.06;31.06;58.21;27.15;26.63;26.63;34.33;34.33;34.33;16.33;92.43;30.31;84.0;28.04;32.25;32.25;32.25;32.25;36.31;36.31;36.31;17.46;43.38;30.05;13.43;25.91
45.05;312.71;90.61;452.16;365.63;45.05;164.72;41.93;90.11;526.91;110.91;63.25;41.93;146.36;62.84;19.08;57.86;68.99;68.99;68.99;86.33;43.01;25.46;114.32;25.46;25.46;61.74;41.6;43.32;122.96;70.52;70.52;29.71;57.74;26.69;113.43;74.85;26.57;88.46;26.57;5.2;5.2;5.2;5.2;5.2;15.31;15.31;15.31;34.68;61.33;26.65;24.25;24.25;35.33;35.33;35.33;21.33;110.68;40.81;97.0;34.79;29.75;29.75;29.75;29.75;34.06;34.06;34.06;17.09;42.5;35.68;17.68;25.41
45.17;318.08;97.11;460.04;374.13;45.17;158.6;36.18;81.61;515.53;101.79;54.25;36.18;141.23;58.84;18.96;52.98;65.61;65.61;65.61;88.58;46.39;22.84;101.82;22.84;22.84;67.37;43.1;42.2;118.71;71.39;71.39;31.83;54.37;28.06;109.43;70.73;34.32;87.96;34.32;5.2;5.2;5.2;5.2;5.2;21.56;21.56;21.56;37.56;63.83;26.27;24.13;24.13;28.7;28.7;28.7;18.08;105.18;39.56;80.87;30.41;31.63;31.63;31.63;31.63;34.31;34.31;34.31;21.59;49.25;30.43;16.8;27.66
48.92;308.96;98.73;442.29;368.38;48.92;158.22;39.05;87.86;515.41;108.66;56.38;39.05;134.48;66.84;15.71;48.73;69.61;69.61;69.61;90.33;47.01;21.71;111.95;21.71;21.71;59.24;36.47;43.32;119.33;65.02;65.02;28.96;62.99;28.06;98.18;71.35;32.82;92.33;32.82;5.2;5.2;5.2;5.2;5.2;16.81;16.81;16.81;31.31;65.33;34.02;24.0;24.0;23.83;23.83;23.83;17.33;97.43;36.06;90.12;34.41;32.25;32.25;32.25;32.25;34.68;34.68;34.68;13.46;40.5;30.8;17.3;27.04
46.42;304.83;102.23;441.91;374.63;46.42;152.47;40.3;85.24;508.28;110.91;57.38;40.3;143.36;58.96;13.08;47.73;70.61;70.61;70.61;83.71;42.64;23.21;101.95;23.21;23.21;74.24;46.1;41.07;116.71;56.27;56.27;23.58;57.99;26.56;110.06;62.6;33.94;91.08;33.94;5.2;5.2;5.2;5.2;5.2;18.68;18.68;18.68;35.43;65.58;30.15;19.75;19.75;31.33;31.33;31.33;17.08;97.06;32.68;85.87;33.91;29.75;29.75;29.75;29.75;38.81;38.81;38.81;17.46;45.13;31.18;18.18;27.66
52.42;312.83;100.48;458.04;363.51;52.42;156.72;40.68;90.36;520.41;101.91;57.88;40.68;136.11;56.71;14.33;60.23;61.24;61.24;61.24;85.33;46.01;25.46;107.82;25.46;25.46;65.87;44.47;39.32;122.58;59.77;59.77;24.46;53.87;25.31;114.31;69.1;31.82;85.71;31.82;4.83;4.83;4.83;4.83;4.83;17.06;17.06;17.06;40.43;70.46;30.02;24.0;24.0;32.08;32.08;32.08;17.2;100.06;35.31;83.25;27.54;29.13;29.13;29.13;29.13;42.06;42.06;42.06;20.21;46.88;32.18;15.18;26.66
39.8;273.96;83.11;408.66;331.76;39.8;142.72;40.05;79.86;491.91;98.41;54.38;40.05;134.36;59.96;17.96;54.61;58.36;58.36;58.36;76.46;33.89;21.34;102.45;21.34;21.34;59.87;39.35;42.57;120.21;62.52;62.52;26.96;46.37;21.81;98.56;68.85;26.32;81.21;26.32;7.08;7.08;7.08;7.08;7.08;16.18;16.18;16.18;34.93;62.33;27.4;21.88;21.88;26.58;26.58;26.58;14.33;100.43;35.56;89.25;27.29;29.75;29.75;29.75;29.75;41.43;41.43;41.43;17.84;40.63;32.43;12.68;22.79
44.42;277.33;93.23;409.79;334.76;44.42;147.35;43.43;83.86;485.03;98.91;64.25;43.43;135.86;48.71;15.83;48.86;55.49;55.49;55.49;83.46;43.51;26.21;97.82;26.21;26.21;59.74;37.35;39.95;115.96;58.77;58.77;25.46;47.87;22.94;101.56;69.73;29.69;85.83;29.69;6.33;6.33;6.33;6.33;6.33;16.06;16.06;16.06;32.31;51.33;19.02;18.88;18.88;30.58;30.58;30.58;20.83;98.68;33.31;90.0;30.54;31.0;31.0;31.0;31.0;36.31;36.31;36.31;14.84;41.25;36.68;16.68;26.41
47.05;299.46;94.61;443.91;350.76;47.05;160.1;42.55;86.11;515.66;99.91;57.75;42.55;135.11;58.09;16.58;53.98;57.36;57.36;57.36;94.96;51.39;23.59;115.82;23.59;23.59;63.24;42.22;43.57;128.96;63.27;63.27;25.08;51.49;26.69;110.56;81.73;28.44;84.46;28.44;7.45;7.45;7.45;7.45;7.45;15.31;15.31;15.31;33.31;59.71;26.4;27.5;27.5;36.7;36.7;36.7;15.2;106.18;38.18;91.87;31.04;31.0;31.0;31.0;31.0;42.68;42.68;42.68;16.21;42.75;36.68;15.93;26.54
47.05;279.96;92.23;428.54;359.38;47.05;148.47;42.8;81.99;507.53;103.91;59.63;42.8;135.36;57.21;15.71;43.86;61.11;61.11;61.11;82.21;39.89;25.09;107.2;25.09;25.09;59.49;38.1;42.32;119.96;63.52;63.52;26.33;53.49;27.06;112.18;69.1;28.94;85.58;28.94;6.33;6.33;6.33;6.33;6.33;20.18;20.18;20.18;38.06;62.46;24.4;22.75;22.75;32.7;32.7;32.7;16.83;96.06;37.18;89.62;30.41;28.5;28.5;28.5;28.5;38.06;38.06;38.06;12.59;36.38;29.18;13.3;23.79
48.05;314.08;91.98;447.29;365.13;48.05;159.1;37.05;80.11;504.53;102.16;53.25;37.05;140.23;59.09;19.33;54.11;65.11;65.11;65.11;81.58;43.89;26.96;104.45;26.96;26.96;63.99;42.97;37.7;116.58;65.77;65.77;31.33;51.12;24.69;108.93;68.1;32.07;89.83;32.07;5.58;5.58;5.58;5.58;5.58;17.81;17.81;17.81;34.93;60.71;25.77;26.88;26.88;34.83;34.83;34.83;16.2;99.43;34.43;85.37;31.04;30.38;30.38;30.38;30.38;35.81;35.81;35.81;20.34;43.25;30.68;17.05;22.91
37.05;271.83;82.73;409.41;342.01;37.05;154.85;45.93;85.74;497.53;114.41;61.88;45.93;131.11;60.59;18.96;47.48;68.49;68.49;68.49;72.46;35.51;25.46;104.45;25.46;25.46;56.24;35.22;36.95;112.83;60.39;60.39;23.08;55.37;26.19;108.06;67.1;26.94;80.71;26.94;5.58;5.58;5.58;5.58;5.58;14.56;14.56;14.56;35.56;62.96;27.4;25.25;25.25;32.7;32.7;32.7;15.95;97.68;37.31;86.62;28.04;29.75;29.75;29.75;29.75;34.68;34.68;34.68;13.71;38.38;32.43;13.8;24.66
45.05;277.21;95.23;412.91;352.76;45.05;142.22;44.05;87.61;498.41;107.91;58.38;44.05;125.11;56.96;14.96;45.61;63.86;63.86;63.86;78.46;38.14;24.34;101.32;24.34;24.34;59.87;37.85;40.32;115.96;54.14;54.14;20.08;61.99;27.81;107.56;65.35;28.94;79.83;28.94;5.58;5.58;5.58;5.58;5.58;21.43;21.43;21.43;32.18;57.58;25.4;25.25;25.25;32.58;32.58;32.58;14.33;95.81;34.06;84.0;31.54;30.38;30.38;30.38;30.38;36.06;36.06;36.06;13.71;41.88;31.43;14.93;28.16
36.8;280.58;83.48;418.29;339.51;36.8;160.85;41.55;84.61;491.28;103.16;57.5;41.55;134.61;63.09;22.08;46.11;61.61;61.61;61.61;85.71;45.26;21.71;96.7;21.71;21.71;56.99;34.85;40.45;110.21;60.39;60.39;22.96;53.24;25.06;107.31;65.6;31.57;86.21;31.57;6.33;6.33;6.33;6.33;6.33;16.93;16.93;16.93;34.56;62.21;27.65;20.63;20.63;31.2;31.2;31.2;15.95;93.43;37.43;81.62;28.41;31.63;31.63;31.63;31.63;33.18;33.18;33.18;13.96;38.5;28.68;15.05;24.54
44.92;299.21;99.48;436.41;357.63;44.92;156.47;42.18;90.74;510.16;102.54;61.0;42.18;136.73;54.59;14.21;52.23;60.36;60.36;60.36;85.33;46.64;20.59;103.7;20.59;20.59;65.74;40.6;38.7;117.08;61.14;61.14;29.83;51.24;25.19;102.31;73.1;30.82;82.96;30.82;4.83;4.83;4.83;4.83;4.83;19.43;19.43;19.43;36.18;60.21;24.02;21.38;21.38;28.95;28.95;28.95;18.83;94.93;31.31;87.5;30.54;30.38;30.38;30.38;30.38;38.18;38.18;38.18;14.09;43.5;33.18;14.18;29.41
48.05;308.83;97.36;450.41;357.13;48.05;152.47;34.8;76.74;503.91;99.79;53.63;34.8;139.61;58.71;16.83;56.86;64.99;64.99;64.99;93.33;49.26;25.84;108.95;25.84;25.84;66.24;41.6;44.07;126.21;68.89;68.89;26.83;52.74;22.06;101.81;70.35;27.69;85.33;27.69;5.95;5.95;5.95;5.95;5.95;19.06;19.06;19.06;34.31;60.33;26.02;26.13;26.13;29.83;29.83;29.83;18.83;117.43;42.06;93.75;35.79;29.13;29.13;29.13;29.13;37.18;37.18;37.18;19.34;44.0;40.18;19.93;24.66
40.92;280.21;86.61;406.04;338.26;40.92;151.72;35.93;74.86;474.91;98.91;52.38;35.93;139.11;61.21;18.96;39.98;62.99;62.99;62.99;80.33;43.89;21.71;102.07;21.71;21.71;59.74;36.72;36.45;116.83;61.89;61.89;25.71;49.24;22.94;97.43;69.1;27.19;86.83;27.19;7.83;7.83;7.83;7.83;7.83;16.06;16.06;16.06;30.93;58.96;28.02;28.0;28.0;28.58;28.58;28.58;16.45;89.81;36.18;85.5;29.91;31.0;31.0;31.0;31.0;35.93;35.93;35.93;12.09;34.75;27.3;15.68;22.66
39.92;296.33;92.23;445.04;355.51;39.92;159.85;46.05;87.86;536.41;110.79;59.5;46.05;138.98;69.96;17.46;51.11;64.74;64.74;64.74;81.96;45.01;22.46;116.7;22.46;22.46;63.37;38.1;36.95;115.83;68.39;68.39;27.58;55.74;27.56;103.43;76.48;31.44;92.58;31.44;4.83;4.83;4.83;4.83;4.83;17.18;17.18;17.18;29.81;65.08;35.27;19.88;19.88;29.95;29.95;29.95;13.45;110.81;40.81;93.0;33.66;34.75;34.75;34.75;34.75;45.56;45.56;45.56;21.71;48.75;31.05;16.43;27.04
44.42;296.96;92.11;415.16;356.01;44.42;157.35;40.43;79.36;487.28;109.29;54.25;40.43;132.86;58.21;20.21;43.11;68.86;68.86;68.86;91.71;47.64;26.21;104.07;26.21;26.21;61.62;39.35;44.07;118.21;60.64;60.64;21.58;60.49;27.19;101.31;75.85;26.69;81.58;26.69;5.2;5.2;5.2;5.2;5.2;19.56;19.56;19.56;31.43;56.08;24.65;23.0;23.0;27.33;27.33;27.33;13.83;99.68;39.06;81.87;31.04;36.0;36.0;36.0;36.0;37.31;37.31;37.31;15.96;41.38;31.3;17.68;25.41
43.8;280.21;86.48;400.79;335.26;43.8;142.22;39.43;82.61;478.91;95.91;58.88;39.43;138.98;50.09;14.33;53.48;56.49;56.49;56.49;74.08;34.76;26.96;101.57;26.96;26.96;68.24;45.72;39.32;112.58;58.39;58.39;27.96;53.49;27.69;106.68;72.35;27.44;79.83;27.44;4.83;4.83;4.83;4.83;4.83;17.31;17.31;17.31;32.56;54.83;22.27;21.88;21.88;30.33;30.33;30.33;19.45;89.81;30.43;82.37;28.91;33.5;33.5;33.5;33.5;31.93;31.93;31.93;13.96;34.13;31.93;15.43;20.16
39.67;280.08;88.73;423.41;350.63;39.67;162.47;52.93;97.86;511.03;113.66;67.88;52.93;129.48;56.71;16.58;46.73;60.74;60.74;60.74;80.71;42.14;20.21;101.32;20.21;20.21;57.62;35.97;38.57;120.33;60.02;60.02;26.96;51.62;24.19;110.81;68.23;26.82;85.21;26.82;5.2;5.2;5.2;5.2;5.2;20.56;20.56;20.56;40.18;66.33;26.15;28.63;28.63;32.58;32.58;32.58;14.95;94.31;33.06;88.5;32.04;27.25;27.25;27.25;27.25;38.18;38.18;38.18;13.09;40.5;34.18;18.05;27.41
44.55;289.08;92.73;429.91;362.63;44.55;151.1;41.55;81.99;503.66;102.91;57.38;41.55;142.98;55.21;16.08;51.48;61.36;61.36;61.36;81.08;41.89;25.46;107.95;25.46;25.46;68.99;43.85;39.2;117.46;58.89;58.89;22.96;52.37;25.19;115.68;70.6;30.94;89.83;30.94;5.95;5.95;5.95;5.95;5.95;15.31;15.31;15.31;43.93;69.96;26.02;25.88;25.88;32.95;32.95;32.95;15.83;99.93;35.93;88.12;29.91;27.25;27.25;27.25;27.25;36.56;36.56;36.56;17.96;41.0;32.93;16.8;23.04
41.3;272.96;90.73;408.91;334.51;41.3;143.85;40.93;81.24;488.28;98.16;57.75;40.93;126.48;45.71;13.96;46.23;57.24;57.24;57.24;81.46;41.14;21.34;95.07;21.34;21.34;59.74;36.47;40.32;121.46;60.27;60.27;28.96;50.62;27.06;105.18;75.48;33.69;83.96;33.69;4.83;4.83;4.83;4.83;4.83;16.56;16.56;16.56;34.18;55.08;20.9;25.0;25.0;30.7;30.7;30.7;16.83;88.56;31.31;79.62;25.16;33.5;33.5;33.5;33.5;39.31;39.31;39.31;13.59;39.75;32.8;14.3;26.16
40.67;281.21;86.11;414.29;343.51;40.67;150.1;38.8;82.24;472.66;102.16;50.5;38.8;125.98;63.09;20.33;47.11;63.36;63.36;63.36;71.83;36.51;20.21;104.95;20.21;20.21;58.87;39.1;35.32;101.96;60.27;60.27;24.21;48.87;22.19;102.56;67.35;26.57;76.96;26.57;5.58;5.58;5.58;5.58;5.58;17.68;17.68;17.68;34.93;61.71;26.77;21.38;21.38;32.08;32.08;32.08;11.7;96.68;36.06;82.12;31.29;25.38;25.38;25.38;25.38;33.56;33.56;33.56;13.59;39.25;31.05;15.3;25.66
44.42;302.71;95.11;438.04;348.51;44.42;160.72;36.3;77.24;485.66;102.04;51.25;36.3;140.11;64.21;20.46;46.86;65.74;65.74;65.74;90.83;48.14;20.96;106.32;20.96;20.96;65.24;39.35;42.7;120.33;62.39;62.39;28.71;45.62;19.56;101.31;71.98;30.82;88.83;30.82;7.83;7.83;7.83;7.83;7.83;15.43;15.43;15.43;30.68;58.71;28.02;24.38;24.38;34.58;34.58;34.58;14.95;98.68;33.68;89.5;34.29;30.38;30.38;30.38;30.38;38.31;38.31;38.31;14.96;39.75;34.3;18.55;24.79
42.05;303.83;89.61;428.16;334.51;42.05;164.72;39.3;84.49;482.41;104.79;57.13;39.3;136.61;54.71;13.46;56.61;65.49;65.49;65.49;97.83;54.39;23.96;103.45;23.96;23.96;66.62;43.22;43.45;124.33;51.89;51.89;23.08;51.24;22.31;104.43;72.35;23.69;78.08;23.69;8.95;8.95;8.95;8.95;8.95;15.43;15.43;15.43;34.06;62.83;28.77;33.5;33.5;31.83;31.83;31.83;17.83;92.56;28.81;85.5;28.16;34.13;34.13;34.13;34.13;29.56;29.56;29.56;16.96;41.13;34.3;15.68;24.16
48.05;291.21;95.86;416.41;348.01;48.05;157.1;44.05;84.61;483.28;104.66;56.25;44.05;134.48;57.34;18.58;51.36;60.61;60.61;60.61;82.96;39.89;21.34;101.32;21.34;21.34;65.49;40.22;43.07;118.58;58.52;58.52;25.08;52.12;28.06;104.18;70.98;27.82;80.46;27.82;4.83;4.83;4.83;4.83;4.83;16.81;16.81;16.81;31.81;55.08;23.27;23.88;23.88;29.7;29.7;29.7;12.2;96.68;33.43;83.25;29.91;29.75;29.75;29.75;29.75;39.43;39.43;39.43;18.21;40.75;29.55;14.43;22.54
35.55;244.83;77.48;359.41;296.76;35.55;131.22;34.8;69.24;408.53;87.29;48.63;34.8;110.23;50.59;16.58;40.73;52.49;52.49;52.49;71.83;38.14;20.96;88.57;20.96;20.96;49.62;30.47;33.7;96.21;45.89;45.89;22.83;43.99;21.56;89.93;55.85;27.19;72.08;27.19;4.45;4.45;4.45;4.45;4.45;16.68;16.68;16.68;27.43;47.21;19.77;19.13;19.13;27.83;27.83;27.83;13.83;81.06;23.06;73.87;28.91;22.25;22.25;22.25;22.25;29.56;29.56;29.56;14.34;37.13;29.43;14.68;22.79
44.05;292.33;90.11;413.16;335.26;44.05;147.6;35.18;72.86;466.53;103.79;52.75;35.18;135.11;50.71;15.21;44.86;68.61;68.61;68.61;79.83;41.14;22.46;100.95;22.46;22.46;65.62;41.6;38.7;114.46;64.77;64.77;27.71;52.62;24.44;102.68;73.98;25.69;76.46;25.69;6.7;6.7;6.7;6.7;6.7;16.43;16.43;16.43;29.93;51.96;22.02;25.0;25.0;31.33;31.33;31.33;17.58;93.81;37.06;77.12;27.54;31.0;31.0;31.0;31.0;33.18;33.18;33.18;16.34;38.38;26.93;14.05;22.04
36.8;268.21;78.48;382.66;311.51;36.8;144.6;38.43;75.49;447.28;96.91;56.75;38.43;121.86;48.46;10.71;41.61;58.49;58.49;58.49;82.71;46.01;25.09;100.7;25.09;25.09;59.37;41.22;36.7;118.83;51.39;51.39;22.83;47.74;25.19;97.06;66.35;22.19;68.96;22.19;4.83;4.83;4.83;4.83;4.83;15.56;15.56;15.56;29.56;53.46;23.9;27.0;27.0;29.95;29.95;29.95;18.33;83.81;28.56;73.62;27.16;28.5;28.5;28.5;28.5;36.81;36.81;36.81;15.09;38.63;26.3;13.3;23.54
45.55;285.71;95.86;431.04;346.38;45.55;144.35;35.68;79.74;487.53;92.54;51.88;35.68;133.61;58.71;17.08;46.61;56.86;56.86;56.86;77.83;42.26;20.96;99.32;20.96;20.96;59.12;37.22;35.57;115.96;61.27;61.27;25.71;46.62;23.44;103.43;63.35;32.19;87.21;32.19;4.45;4.45;4.45;4.45;4.45;19.43;19.43;19.43;29.93;54.96;25.02;26.25;26.25;34.7;34.7;34.7;16.2;96.93;35.56;85.62;30.41;26.63;26.63;26.63;26.63;37.93;37.93;37.93;16.96;45.38;27.8;13.8;28.41
32.67;263.58;76.61;389.79;315.01;32.67;144.47;38.55;74.99;464.41;93.54;55.88;38.55;128.23;55.96;17.96;43.11;54.99;54.99;54.99;78.83;42.89;22.84;105.32;22.84;22.84;61.12;38.47;35.95;110.33;60.64;60.64;25.08;51.99;26.94;100.81;71.1;27.32;72.08;27.32;5.95;5.95;5.95;5.95;5.95;20.06;20.06;20.06;31.68;57.71;26.02;23.0;23.0;29.08;29.08;29.08;17.33;88.43;35.56;69.62;24.91;26.63;26.63;26.63;26.63;34.06;34.06;34.06;15.09;36.38;25.8;12.93;21.29
